MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
jan/13;ETANOL HIDRATADO;1,956;;;;;;;;;;;;
jan/13;GASOLINA COMUM;2,763;;;;;;;;;;;;
jan/13;GLP;40,164;;;;;;;;;;;;
jan/13;GNV;1,764;;;;;;;;;;;;
jan/13;OLEO DIESEL;2,156;;;;;;;;;;;;
jan/13;OLEO DIESEL S10;2,235;;;;;;;;;;;;
fev/13;ETANOL HIDRATADO;2,000;;;;;;;;;;;;
fev/13;GASOLINA COMUM;2,887;;;;;;;;;;;;
fev/13;GLP;40,414;;;;;;;;;;;;
fev/13;GNV;1,770;;;;;;;;;;;;
fev/13;OLEO DIESEL;2,252;;;;;;;;;;;;
fev/13;OLEO DIESEL S10;2,330;;;;;;;;;;;;
mar/13;ETANOL HIDRATADO;2,058;;;;;;;;;;;;
mar/13;GASOLINA COMUM;2,886;;;;;;;;;;;;
mar/13;GLP;40,513;;;;;;;;;;;;
mar/13;GNV;1,776;;;;;;;;;;;;
mar/13;OLEO DIESEL;2,301;;;;;;;;;;;;
mar/13;OLEO DIESEL S10;2,388;;;;;;;;;;;;
abr/13;ETANOL HIDRATADO;2,064;;;;;;;;;;;;
abr/13;GASOLINA COMUM;2,876;;;;;;;;;;;;
abr/13;GLP;40,743;;;;;;;;;;;;
abr/13;GNV;1,784;;;;;;;;;;;;
abr/13;OLEO DIESEL;2,332;;;;;;;;;;;;
abr/13;OLEO DIESEL S10;2,426;;;;;;;;;;;;
mai/13;ETANOL HIDRATADO;2,029;;;;;;;;;;;;
mai/13;GASOLINA COMUM;2,862;;;;;;;;;;;;
mai/13;GLP;40,899;;;;;;;;;;;;
mai/13;GNV;1,777;;;;;;;;;;;;
mai/13;OLEO DIESEL;2,333;;;;;;;;;;;;
mai/13;OLEO DIESEL S10;2,430;;;;;;;;;;;;
jun/13;ETANOL HIDRATADO;1,943;;;;;;;;;;;;
jun/13;GASOLINA COMUM;2,848;;;;;;;;;;;;
jun/13;GLP;40,908;;;;;;;;;;;;
jun/13;GNV;1,786;;;;;;;;;;;;
jun/13;OLEO DIESEL;2,333;;;;;;;;;;;;
jun/13;OLEO DIESEL S10;2,432;;;;;;;;;;;;
jul/13;ETANOL HIDRATADO;1,918;;;;;;;;;;;;
jul/13;GASOLINA COMUM;2,839;;;;;;;;;;;;
jul/13;GLP;40,899;;;;;;;;;;;;
jul/13;GNV;1,792;;;;;;;;;;;;
jul/13;OLEO DIESEL;2,333;;;;;;;;;;;;
jul/13;OLEO DIESEL S10;2,431;;;;;;;;;;;;
ago/13;ETANOL HIDRATADO;1,902;;;;;;;;;;;;
ago/13;GASOLINA COMUM;2,835;;;;;;;;;;;;
ago/13;GLP;40,975;;;;;;;;;;;;
ago/13;GNV;1,785;;;;;;;;;;;;
ago/13;OLEO DIESEL;2,331;;;;;;;;;;;;
ago/13;OLEO DIESEL S10;2,430;;;;;;;;;;;;
set/13;ETANOL HIDRATADO;1,895;;;;;;;;;;;;
set/13;GASOLINA COMUM;2,834;;;;;;;;;;;;
set/13;GLP;41,532;;;;;;;;;;;;
set/13;GNV;1,787;;;;;;;;;;;;
set/13;OLEO DIESEL;2,331;;;;;;;;;;;;
set/13;OLEO DIESEL S10;2,430;;;;;;;;;;;;
out/13;ETANOL HIDRATADO;1,914;;;;;;;;;;;;
out/13;GASOLINA COMUM;2,834;;;;;;;;;;;;
out/13;GLP;42,112;;;;;;;;;;;;
out/13;GNV;1,790;;;;;;;;;;;;
out/13;OLEO DIESEL;2,332;;;;;;;;;;;;
out/13;OLEO DIESEL S10;2,428;;;;;;;;;;;;
nov/13;ETANOL HIDRATADO;1,932;;;;;;;;;;;;
nov/13;GASOLINA COMUM;2,841;;;;;;;;;;;;
nov/13;GLP;42,337;;;;;;;;;;;;
nov/13;GNV;1,792;;;;;;;;;;;;
nov/13;OLEO DIESEL;2,332;;;;;;;;;;;;
nov/13;OLEO DIESEL S10;2,428;;;;;;;;;;;;
dez/13;ETANOL HIDRATADO;2,022;;;;;;;;;;;;
dez/13;GASOLINA COMUM;2,946;;;;;;;;;;;;
dez/13;GLP;42,444;;;;;;;;;;;;
dez/13;GNV;1,812;;;;;;;;;;;;
dez/13;OLEO DIESEL;2,466;;;;;;;;;;;;
dez/13;OLEO DIESEL S10;2,570;;;;;;;;;;;;
jan/14;ETANOL HIDRATADO;2,047;;;;;;;;;;;;
jan/14;GASOLINA COMUM;2,956;;;;;;;;;;;;
jan/14;GLP;42,484;;;;;;;;;;;;
jan/14;GNV;1,825;;;;;;;;;;;;
jan/14;OLEO DIESEL;2,485;;;;;;;;;;;;
jan/14;OLEO DIESEL S10;2,590;;;;;;;;;;;;
fev/14;ETANOL HIDRATADO;2,074;;;;;;;;;;;;
fev/14;GASOLINA COMUM;2,955;;;;;;;;;;;;
fev/14;GLP;42,613;;;;;;;;;;;;
fev/14;GNV;1,830;;;;;;;;;;;;
fev/14;OLEO DIESEL;2,491;;;;;;;;;;;;
fev/14;OLEO DIESEL S10;2,596;;;;;;;;;;;;
mar/14;ETANOL HIDRATADO;2,168;;;;;;;;;;;;
mar/14;GASOLINA COMUM;2,980;;;;;;;;;;;;
mar/14;GLP;42,631;;;;;;;;;;;;
mar/14;GNV;1,841;;;;;;;;;;;;
mar/14;OLEO DIESEL;2,497;;;;;;;;;;;;
mar/14;OLEO DIESEL S10;2,601;;;;;;;;;;;;
abr/14;ETANOL HIDRATADO;2,177;;;;;;;;;;;;
abr/14;GASOLINA COMUM;2,988;;;;;;;;;;;;
abr/14;GLP;42,672;;;;;;;;;;;;
abr/14;GNV;1,859;;;;;;;;;;;;
abr/14;OLEO DIESEL;2,502;;;;;;;;;;;;
abr/14;OLEO DIESEL S10;2,608;;;;;;;;;;;;
mai/14;ETANOL HIDRATADO;2,134;;;;;;;;;;;;
mai/14;GASOLINA COMUM;2,978;;;;;;;;;;;;
mai/14;GLP;42,664;;;;;;;;;;;;
mai/14;GNV;1,871;;;;;;;;;;;;
mai/14;OLEO DIESEL;2,500;;;;;;;;;;;;
mai/14;OLEO DIESEL S10;2,609;;;;;;;;;;;;
jun/14;ETANOL HIDRATADO;2,071;;;;;;;;;;;;
jun/14;GASOLINA COMUM;2,966;;;;;;;;;;;;
jun/14;GLP;42,692;;;;;;;;;;;;
jun/14;GNV;1,888;;;;;;;;;;;;
jun/14;OLEO DIESEL;2,500;;;;;;;;;;;;
jun/14;OLEO DIESEL S10;2,609;;;;;;;;;;;;
jul/14;ETANOL HIDRATADO;2,042;;;;;;;;;;;;
jul/14;GASOLINA COMUM;2,957;;;;;;;;;;;;
jul/14;GLP;42,657;;;;;;;;;;;;
jul/14;GNV;1,892;;;;;;;;;;;;
jul/14;OLEO DIESEL;2,499;;;;;;;;;;;;
jul/14;OLEO DIESEL S10;2,610;;;;;;;;;;;;
ago/14;ETANOL HIDRATADO;2,034;;;;;;;;;;;;
ago/14;GASOLINA COMUM;2,960;;;;;;;;;;;;
ago/14;GLP;42,638;;;;;;;;;;;;
ago/14;GNV;1,916;;;;;;;;;;;;
ago/14;OLEO DIESEL;2,501;;;;;;;;;;;;
ago/14;OLEO DIESEL S10;2,633;;;;;;;;;;;;
set/14;ETANOL HIDRATADO;2,005;;;;;;;;;;;;
set/14;GASOLINA COMUM;2,963;;;;;;;;;;;;
set/14;GLP;43,700;;;;;;;;;;;;
set/14;GNV;1,900;;;;;;;;;;;;
set/14;OLEO DIESEL;2,501;;;;;;;;;;;;
set/14;OLEO DIESEL S10;2,640;;;;;;;;;;;;
out/14;ETANOL HIDRATADO;1,999;;;;;;;;;;;;
out/14;GASOLINA COMUM;2,960;;;;;;;;;;;;
out/14;GLP;44,432;;;;;;;;;;;;
out/14;GNV;1,903;;;;;;;;;;;;
out/14;OLEO DIESEL;2,500;;;;;;;;;;;;
out/14;OLEO DIESEL S10;2,640;;;;;;;;;;;;
nov/14;ETANOL HIDRATADO;2,016;;;;;;;;;;;;
nov/14;GASOLINA COMUM;3,009;;;;;;;;;;;;
nov/14;GLP;44,596;;;;;;;;;;;;
nov/14;GNV;1,907;;;;;;;;;;;;
nov/14;OLEO DIESEL;2,564;;;;;;;;;;;;
nov/14;OLEO DIESEL S10;2,713;;;;;;;;;;;;
dez/14;ETANOL HIDRATADO;2,041;;;;;;;;;;;;
dez/14;GASOLINA COMUM;3,031;;;;;;;;;;;;
dez/14;GLP;44,701;;;;;;;;;;;;
dez/14;GNV;1,913;;;;;;;;;;;;
dez/14;OLEO DIESEL;2,606;;;;;;;;;;;;
dez/14;OLEO DIESEL S10;2,756;;;;;;;;;;;;
jan/15;ETANOL HIDRATADO;2,061;;;;;;;;;;;;
jan/15;GASOLINA COMUM;3,032;;;;;;;;;;;;
jan/15;GLP;44,673;;;;;;;;;;;;
jan/15;GNV;1,926;;;;;;;;;;;;
jan/15;OLEO DIESEL;2,611;;;;;;;;;;;;
jan/15;OLEO DIESEL S10;2,763;;;;;;;;;;;;
fev/15;ETANOL HIDRATADO;2,224;;;;;;;;;;;;
fev/15;GASOLINA COMUM;3,301;;;;;;;;;;;;
fev/15;GLP;44,892;;;;;;;;;;;;
fev/15;GNV;1,944;;;;;;;;;;;;
fev/15;OLEO DIESEL;2,788;;;;;;;;;;;;
fev/15;OLEO DIESEL S10;2,937;;;;;;;;;;;;
mar/15;ETANOL HIDRATADO;2,226;;;;;;;;;;;;
mar/15;GASOLINA COMUM;3,323;;;;;;;;;;;;
mar/15;GLP;45,228;;;;;;;;;;;;
mar/15;GNV;1,955;;;;;;;;;;;;
mar/15;OLEO DIESEL;2,810;;;;;;;;;;;;
mar/15;OLEO DIESEL S10;2,958;;;;;;;;;;;;
abr/15;ETANOL HIDRATADO;2,179;;;;;;;;;;;;
abr/15;GASOLINA COMUM;3,308;;;;;;;;;;;;
abr/15;GLP;45,765;;;;;;;;;;;;
abr/15;GNV;1,986;;;;;;;;;;;;
abr/15;OLEO DIESEL;2,809;;;;;;;;;;;;
abr/15;OLEO DIESEL S10;2,957;;;;;;;;;;;;
mai/15;ETANOL HIDRATADO;2,141;;;;;;;;;;;;
mai/15;GASOLINA COMUM;3,299;;;;;;;;;;;;
mai/15;GLP;45,950;;;;;;;;;;;;
mai/15;GNV;2,005;;;;;;;;;;;;
mai/15;OLEO DIESEL;2,808;;;;;;;;;;;;
mai/15;OLEO DIESEL S10;2,956;;;;;;;;;;;;
jun/15;ETANOL HIDRATADO;2,112;;;;;;;;;;;;
jun/15;GASOLINA COMUM;3,301;;;;;;;;;;;;
jun/15;GLP;45,920;;;;;;;;;;;;
jun/15;GNV;2,023;;;;;;;;;;;;
jun/15;OLEO DIESEL;2,807;;;;;;;;;;;;
jun/15;OLEO DIESEL S10;2,957;;;;;;;;;;;;
jul/15;ETANOL HIDRATADO;2,081;;;;;;;;;;;;
jul/15;GASOLINA COMUM;3,296;;;;;;;;;;;;
jul/15;GLP;45,959;;;;;;;;;;;;
jul/15;GNV;2,057;;;;;;;;;;;;
jul/15;OLEO DIESEL;2,805;;;;;;;;;;;;
jul/15;OLEO DIESEL S10;2,954;;;;;;;;;;;;
ago/15;ETANOL HIDRATADO;2,061;;;;;;;;;;;;
ago/15;GASOLINA COMUM;3,295;;;;;;;;;;;;
ago/15;GLP;46,015;;;;;;;;;;;;
ago/15;GNV;2,099;;;;;;;;;;;;
ago/15;OLEO DIESEL;2,805;;;;;;;;;;;;
ago/15;OLEO DIESEL S10;2,954;;;;;;;;;;;;
set/15;ETANOL HIDRATADO;2,074;;;;;;;;;;;;
set/15;GASOLINA COMUM;3,277;;;;;;;;;;;;
set/15;GLP;52,918;;;;;;;;;;;;
set/15;GNV;2,146;;;;;;;;;;;;
set/15;OLEO DIESEL;2,809;;;;;;;;;;;;
set/15;OLEO DIESEL S10;2,957;;;;;;;;;;;;
out/15;ETANOL HIDRATADO;2,365;;;;;;;;;;;;
out/15;GASOLINA COMUM;3,480;;;;;;;;;;;;
out/15;GLP;53,867;;;;;;;;;;;;
out/15;GNV;2,183;;;;;;;;;;;;
out/15;OLEO DIESEL;2,925;;;;;;;;;;;;
out/15;OLEO DIESEL S10;3,074;;;;;;;;;;;;
nov/15;ETANOL HIDRATADO;2,578;;;;;;;;;;;;
nov/15;GASOLINA COMUM;3,576;;;;;;;;;;;;
nov/15;GLP;54,205;;;;;;;;;;;;
nov/15;GNV;2,208;;;;;;;;;;;;
nov/15;OLEO DIESEL;2,965;;;;;;;;;;;;
nov/15;OLEO DIESEL S10;3,112;;;;;;;;;;;;
dez/15;ETANOL HIDRATADO;2,659;;;;;;;;;;;;
dez/15;GASOLINA COMUM;3,633;;;;;;;;;;;;
dez/15;GLP;54,071;;;;;;;;;;;;
dez/15;GNV;2,225;;;;;;;;;;;;
dez/15;OLEO DIESEL;2,985;;;;;;;;;;;;
dez/15;OLEO DIESEL S10;3,128;;;;;;;;;;;;
jan/16;ETANOL HIDRATADO;2,718;;;;;;;;;;;;
jan/16;GASOLINA COMUM;3,676;;;;;;;;;;;;
jan/16;GLP;53,947;;;;;;;;;;;;
jan/16;GNV;2,244;;;;;;;;;;;;
jan/16;OLEO DIESEL;3,003;;;;;;;;;;;;
jan/16;OLEO DIESEL S10;3,148;;;;;;;;;;;;
fev/16;ETANOL HIDRATADO;2,808;;;;;;;;;;;;
fev/16;GASOLINA COMUM;3,710;;;;;;;;;;;;
fev/16;GLP;53,941;;;;;;;;;;;;
fev/16;GNV;2,251;;;;;;;;;;;;
fev/16;OLEO DIESEL;3,017;;;;;;;;;;;;
fev/16;OLEO DIESEL S10;3,158;;;;;;;;;;;;
mar/16;ETANOL HIDRATADO;2,869;;;;;;;;;;;;
mar/16;GASOLINA COMUM;3,730;;;;;;;;;;;;
mar/16;GLP;53,871;;;;;;;;;;;;
mar/16;GNV;2,253;;;;;;;;;;;;
mar/16;OLEO DIESEL;3,020;;;;;;;;;;;;
mar/16;OLEO DIESEL S10;3,164;;;;;;;;;;;;
abr/16;ETANOL HIDRATADO;2,741;;;;;;;;;;;;
abr/16;GASOLINA COMUM;3,717;;;;;;;;;;;;
abr/16;GLP;53,679;;;;;;;;;;;;
abr/16;GNV;2,251;;;;;;;;;;;;
abr/16;OLEO DIESEL;3,021;;;;;;;;;;;;
abr/16;OLEO DIESEL S10;3,165;;;;;;;;;;;;
mai/16;ETANOL HIDRATADO;2,478;;;;;;;;;;;;
mai/16;GASOLINA COMUM;3,674;;;;;;;;;;;;
mai/16;GLP;53,384;;;;;;;;;;;;
mai/16;GNV;2,241;;;;;;;;;;;;
mai/16;OLEO DIESEL;3,017;;;;;;;;;;;;
mai/16;OLEO DIESEL S10;3,161;;;;;;;;;;;;
jun/16;ETANOL HIDRATADO;2,466;;;;;;;;;;;;
jun/16;GASOLINA COMUM;3,646;;;;;;;;;;;;
jun/16;GLP;53,122;;;;;;;;;;;;
jun/16;GNV;2,231;;;;;;;;;;;;
jun/16;OLEO DIESEL;3,015;;;;;;;;;;;;
jun/16;OLEO DIESEL S10;3,159;;;;;;;;;;;;
jul/16;ETANOL HIDRATADO;2,434;;;;;;;;;;;;
jul/16;GASOLINA COMUM;3,638;;;;;;;;;;;;
jul/16;GLP;52,878;;;;;;;;;;;;
jul/16;GNV;2,235;;;;;;;;;;;;
jul/16;OLEO DIESEL;3,013;;;;;;;;;;;;
jul/16;OLEO DIESEL S10;3,156;;;;;;;;;;;;
ago/16;ETANOL HIDRATADO;2,485;;;;;;;;;;;;
ago/16;GASOLINA COMUM;3,651;;;;;;;;;;;;
ago/16;GLP;52,774;;;;;;;;;;;;
ago/16;GNV;2,212;;;;;;;;;;;;
ago/16;OLEO DIESEL;3,010;;;;;;;;;;;;
ago/16;OLEO DIESEL S10;3,150;;;;;;;;;;;;
set/16;ETANOL HIDRATADO;2,510;;;;;;;;;;;;
set/16;GASOLINA COMUM;3,648;;;;;;;;;;;;
set/16;GLP;54,688;;;;;;;;;;;;
set/16;GNV;2,224;;;;;;;;;;;;
set/16;OLEO DIESEL;3,009;;;;;;;;;;;;
set/16;OLEO DIESEL S10;3,150;;;;;;;;;;;;
out/16;ETANOL HIDRATADO;2,676;;;;;;;;;;;;
out/16;GASOLINA COMUM;3,662;;;;;;;;;;;;
out/16;GLP;55,343;;;;;;;;;;;;
out/16;GNV;2,201;;;;;;;;;;;;
out/16;OLEO DIESEL;3,009;;;;;;;;;;;;
out/16;OLEO DIESEL S10;3,148;;;;;;;;;;;;
nov/16;ETANOL HIDRATADO;2,812;;;;;;;;;;;;
nov/16;GASOLINA COMUM;3,671;;;;;;;;;;;;
nov/16;GLP;55,607;;;;;;;;;;;;
nov/16;GNV;2,221;;;;;;;;;;;;
nov/16;OLEO DIESEL;2,993;;;;;;;;;;;;
nov/16;OLEO DIESEL S10;3,136;;;;;;;;;;;;
dez/16;ETANOL HIDRATADO;2,831;;;;;;;;;;;;
dez/16;GASOLINA COMUM;3,734;;;;;;;;;;;;
